Time;AccX;AccY;AccZ;GyX;GyY;GyZ

43,55470,0278;0,001;-0,0122;-5,98;2,9;1,73
43,563440,0266;-0,0032;-0,0061;-5,9;2,78;1,53
43,571850,0232;-0,0005;0,002;-5,86;2,84;1,68
43,580430,0232;-0,0005;0,002;-5,86;2,84;1,68
43,590070,0232;-0,0005;0,002;-5,86;2,84;1,68
43,599270,0273;-0,0005;-0,009;-5,97;2,89;1,46
43,608840,0273;-0,0005;-0,009;-5,97;2,89;1,46
43,623140,0286;-0,0005;-0,0125;-5,99;2,85;1,64
43,633470,0286;-0,0005;-0,0125;-5,99;2,85;1,64
43,64920,0312;0,0017;-0,0059;-6,03;2,83;1,52
43,673320,0259;-0,0042;-0,0027;-6,01;2,86;1,61
43,685290,033;0,0034;0,0054;-5,95;2,91;1,66
43,695610,0256;0,0002;-0,0098;-6,12;2,91;1,68
43,705750,0256;0,0002;-0,0098;-6,12;2,91;1,68
43,715360,0232;-0,0032;-0,011;-5,98;2,83;1,75
43,726790,0232;-0,0032;-0,011;-5,98;2,83;1,75
43,742330,0247;0,0005;-0,0054;-6,15;2,89;1,56
43,755580,0339;0,0081;0,0054;-6,05;2,89;1,56
43,766320,0339;0,0081;0,0054;-6,05;2,89;1,56
43,777230,0295;0,0061;-0,012;-6,11;2,98;1,79
43,787560,0295;0,0061;-0,012;-6,11;2,98;1,79
43,797960,0271;0,0034;0,0034;-6,18;2,85;1,63
43,812840,0259;-0,0002;0,0015;-5,99;3,03;1,49
43,82330,0259;-0,0002;0,0015;-5,99;3,03;1,49
43,833130,0259;-0,0002;0,0015;-5,99;3,03;1,49
43,844280,0293;-0,0002;-0,0105;-6,02;2,91;1,58
43,859280,03;-0,0046;-0,0078;-6,1;2,9;1,76
43,869530,03;-0,0046;-0,0078;-6,1;2,9;1,76
43,878680,0317;0,0005;-0,0129;-6,37;2,9;1,47
43,888160,0317;0,0005;-0,0129;-6,37;2,9;1,47
43,897160,0361;0,0032;-0,0164;-5,79;2,82;1,61
43,90630,0361;0,0032;-0,0164;-5,79;2,82;1,61
43,916240,0271;-0,0034;0,0066;-5,97;2,82;1,58
43,925750,0271;-0,0034;0,0066;-5,97;2,82;1,58
43,935230,0239;0,0007;-0,0088;-5,84;2,82;1,62
43,945390,0239;0,0007;-0,0088;-5,84;2,82;1,62
43,961690,0283;0,0002;-0,0027;-6,02;2,85;1,7
43,976590,0242;0,002;-0,0024;-5,81;2,93;1,62
43,990970,0242;0,002;-0,0024;-5,81;2,93;1,62
44,001010,0271;0,0029;-0,011;-6,12;2,95;1,58
44,01060,0271;0,0029;-0,011;-6,12;2,95;1,58
44,019710,0271;0,0029;-0,011;-6,12;2,95;1,58
44,029110,0305;0,002;-0,0107;-6,09;3;1,62
44,038540,0305;0,0051;-0,0049;-5,99;2,69;1,61
44,047880,0305;0,0051;-0,0049;-5,99;2,69;1,61
44,057580,0281;0,002;-0,001;-6,18;3,01;1,61
44,072320,0281;0,002;-0,001;-6,18;3,01;1,61
44,081320,0264;-0,0022;-0,0103;-6,02;2,89;1,54
44,090170,0264;-0,0022;-0,0103;-6,02;2,89;1,54
44,100810,0278;0,0022;-0,0037;-6,11;2,92;1,44
44,110840,0278;0,0022;-0,0037;-6,11;2,92;1,44
44,121280,0266;0,0037;-0,0076;-5,86;2,8;1,65
44,135720,0298;0,0027;0,001;-6,11;2,91;1,65
44,146090,0298;0,0027;0,001;-6,11;2,91;1,65
44,157940,0308;0,0024;-0,0007;-6,01;2,84;1,53
44,173370,0308;0,0024;-0,0007;-6,01;2,84;1,53
44,184190,0293;-0,0005;-0,0005;-6,04;3;1,82
44,193830,0293;-0,0005;-0,0005;-6,04;3;1,82
44,203490,0283;-0,0032;-0,011;-6,12;2,92;1,6
44,212660,0283;-0,0032;-0,011;-6,12;2,92;1,6
44,221710,0271;-0,0042;-0,0076;-6,02;2,89;1,69
44,230890,0271;-0,0042;-0,0076;-6,02;2,89;1,69
44,239880,0237;0,0007;-0,0073;-6,06;2,9;1,4
44,249020,0237;0,0007;-0,0073;-6,06;2,9;1,4
44,257870,0295;0,002;-0,0112;-6,09;2,89;1,62
44,266760,0295;0,002;-0,0112;-6,09;2,89;1,62
44,276040,0269;-0,0017;0,001;-6,16;2,86;1,5
44,289840,0269;-0,0017;0,001;-6,16;2,86;1,5
